ticker,current_price,change_1d,volume_ratio,obv_change_20d,price_momentum_20d,flow_score,flow_status,name,category
SPY,688.15,0.78,0.94,-38.05,0.4,30,Outflow,SPDR S&P 500,Broad Market
QQQ,608.16,1.14,0.98,-22.47,-1.32,30,Outflow,Invesco QQQ,Broad Market
IWM,266.16,1.19,0.89,-5.37,-0.61,40,Outflow,iShares Russell 2000,Broad Market
DIA,498.77,0.59,0.93,58.11,1.62,70,Strong Inflow,SPDR Dow Jones,Broad Market
VTI,339.97,0.86,0.9,-101.71,0.26,30,Outflow,Vanguard Total Stock,Broad Market
VOO,632.96,0.79,0.81,-5.18,0.42,40,Outflow,Vanguard S&P 500,Broad Market
XLK,141.61,1.53,0.92,-23.93,-1.53,30,Outflow,Technology,Sector
XLF,52.65,0.85,1.11,-93.41,-1.52,30,Outflow,Financial,Sector
XLV,156.91,-0.29,0.98,-123.59,-0.85,30,Outflow,Healthcare,Sector
XLE,54.48,1.36,0.9,437.87,11.75,85,Strong Inflow,Energy,Sector
XLY,117.53,1.28,0.98,-66.79,-3.19,22,Strong Outflow,Consumer Disc.,Sector
XLP,88.32,0.14,1.06,41.37,7.13,85,Strong Inflow,Consumer Staples,Sector
XLI,175.89,0.46,0.98,53.95,5.73,85,Strong Inflow,Industrials,Sector
XLB,53.29,1.12,0.99,82.46,8.23,85,Strong Inflow,Materials,Sector
XLU,46.04,-0.74,1.06,2511.46,7.01,85,Strong Inflow,Utilities,Sector
XLRE,43.49,-1.02,1.2,35.7,4.67,78,Strong Inflow,Real Estate,Sector
XLC,114.71,0.27,0.79,-1907.94,0.07,30,Outflow,Comm. Services,Sector
GLD,459.36,2.49,0.44,53.76,3.55,68,Inflow,Gold SPDR,Commodity
SLV,70.44,6.14,0.47,30.11,-16.1,45,Neutral,Silver iShares,Commodity
USO,78.21,3.27,0.95,422.5,6.63,85,Strong Inflow,US Oil Fund,Commodity
TLT,89.74,-0.14,0.96,6545.43,3.18,78,Strong Inflow,20+ Yr Treasury,Fixed Income
IEF,97.04,-0.16,0.93,92.26,1.63,70,Strong Inflow,7-10 Yr Treasury,Fixed Income
HYG,80.93,0.15,0.8,-35.09,0.27,30,Outflow,High Yield Corp,Fixed Income
LQD,111.6,-0.09,0.92,273.85,1.31,70,Strong Inflow,Inv. Grade Corp,Fixed Income
JNK,97.57,0.18,0.91,-19.93,0.27,30,Outflow,High Yield Bond,Fixed Income
